id,type,geometry,highway,lanes,tunnel,bridge,roundabout,oneway,length,maxspeed,u,v,s_lon,s_lat,e_lon,e_lat,m_lon,m_lat,coordinates
0,LineString,"LINESTRING (104.100294 30.7147948, 104.1000959 30.7148658)",5.0,0,0,0,0,0,20.517,0,288416374,1815728532,104.100294,30.714794800000004,104.1000959,30.7148658,104.10019495,30.714830300000003,"[[104.100294, 30.7147948], [104.1000959, 30.7148658]]"
1,LineString,"LINESTRING (104.100294 30.7147948, 104.1007853 30.7160125)",2.0,0,0,0,0,1,143.316,0,288416374,3541376393,104.100294,30.714794800000004,104.1007853,30.7160125,104.10053965,30.71540365,"[[104.100294, 30.7147948], [104.1007853, 30.7160125]]"
2,LineString,"LINESTRING (104.100294 30.7147948, 104.1004665 30.7147345, 104.1015994 30.7143386, 104.101751 30.7143139, 104.1018992 30.7142612, 104.1019833 30.7142235)",5.0,0,0,0,0,0,173.857,0,288416374,314655436,104.100294,30.714794800000004,104.1019833,30.7142235,104.10133223333334,30.71444441666667,"[[104.100294, 30.7147948], [104.1004665, 30.7147345], [104.1015994, 30.7143386], [104.101751, 30.7143139], [104.1018992, 30.7142612], [104.1019833, 30.7142235]]"
3,LineString,"LINESTRING (104.083862 30.6898358, 104.084002 30.6897702)",4.0,0,0,0,0,0,15.245,0,288416379,8722369259,104.083862,30.6898358,104.084002,30.6897702,104.083932,30.689803,"[[104.083862, 30.6898358], [104.084002, 30.6897702]]"
4,LineString,"LINESTRING (104.083862 30.6898358, 104.0828949 30.6883861, 104.0824339 30.6876654)",2.0,3,0,0,0,1,277.305,0,288416379,1159231411,104.083862,30.6898358,104.0824339,30.6876654,104.0830636,30.688629100000004,"[[104.083862, 30.6898358], [104.0828949, 30.6883861], [104.0824339, 30.6876654]]"
5,LineString,"LINESTRING (104.080525 30.6847522, 104.0807094 30.6846811)",2.0,0,0,0,0,1,19.325,0,288416380,5213252919,104.080525,30.6847522,104.0807094,30.6846811,104.0806172,30.68471665,"[[104.080525, 30.6847522], [104.0807094, 30.6846811]]"
6,LineString,"LINESTRING (104.080525 30.6847522, 104.0798914 30.6838791, 104.0792805 30.6829958, 104.0787213 30.6821336, 104.0781717 30.681286)",2.0,3,0,0,0,1,446.41,0,288416380,1159230080,104.080525,30.6847522,104.0781717,30.681286,104.07931798,30.68300934,"[[104.080525, 30.6847522], [104.0798914, 30.6838791], [104.0792805, 30.6829958], [104.0787213, 30.6821336], [104.0781717, 30.681286]]"
7,LineString,"LINESTRING (104.0690996 30.6799019, 104.0690625 30.6798515)",2.0,4,0,0,0,1,6.632999999999999,0,288416386,6224263520,104.0690996,30.6799019,104.0690625,30.6798515,104.06908105,30.6798767,"[[104.0690996, 30.6799019], [104.0690625, 30.6798515]]"
8,LineString,"LINESTRING (104.0690996 30.6799019, 104.0684817 30.6800206, 104.0683177 30.6800653, 104.0681434 30.6801454, 104.0680127 30.6802279, 104.0679086 30.6803078, 104.0678356 30.6803724, 104.0677641 30.6804471, 104.0676947 30.6805282, 104.0671901 30.6811507, 104.0670815 30.681289, 104.0669397 30.6814313, 104.0668209 30.681536, 104.0666756 30.6816584, 104.066587 30.6817321, 104.066469 30.6818285, 104.0663196 30.6819397, 104.0661776 30.6820445, 104.066077 30.6821151, 104.0659763 30.6821782, 104.0658458 30.6822562, 104.0656902 30.6823357, 104.0655638 30.682394, 104.06541 30.6824587, 104.0652679 30.6825101, 104.0651204 30.6825535, 104.0649164 30.682612, 104.0645901 30.6827023, 104.063918 30.6828827, 104.0636713 30.6829473, 104.0634887 30.6830003, 104.0634185 30.6830302)",,0,0,0,0,1,668.181,0,288416386,6224262558,104.0690996,30.6799019,104.0634185,30.6830302,104.066327296875,30.681643846874994,"[[104.0690996, 30.6799019], [104.0684817, 30.6800206], [104.0683177, 30.6800653], [104.0681434, 30.6801454], [104.0680127, 30.6802279], [104.0679086, 30.6803078], [104.0678356, 30.6803724], [104.0677641, 30.6804471], [104.0676947, 30.6805282], [104.0671901, 30.6811507], [104.0670815, 30.681289], [104.0669397, 30.6814313], [104.0668209, 30.681536], [104.0666756, 30.6816584], [104.066587, 30.6817321], [104.066469, 30.6818285], [104.0663196, 30.6819397], [104.0661776, 30.6820445], [104.066077, 30.6821151], [104.0659763, 30.6821782], [104.0658458, 30.6822562], [104.0656902, 30.6823357], [104.0655638, 30.682394], [104.06541, 30.6824587], [104.0652679, 30.6825101], [104.0651204, 30.6825535], [104.0649164, 30.682612], [104.0645901, 30.6827023], [104.063918, 30.6828827], [104.0636713, 30.6829473], [104.0634887, 30.6830003], [104.0634185, 30.6830302]]"
9,LineString,"LINESTRING (104.0580855 30.6607276, 104.0581033 30.6605957)",2.0,3,0,0,0,1,14.765,0,314622918,4548211425,104.0580855,30.6607276,104.0581033,30.6605957,104.0580944,30.66066165,"[[104.0580855, 30.6607276], [104.0581033, 30.6605957]]"
