Unnamed: 0,type,time,entity_id,coordinates,trajectory_id
899519,trajectory,2018-10-01T12:09:26Z,1391,"[104.09597, 30.71475]",34234
899520,trajectory,2018-10-01T12:09:57Z,1391,"[104.09585, 30.71478]",34234
899521,trajectory,2018-10-01T12:10:27Z,1391,"[104.09569, 30.71475]",34234
899522,trajectory,2018-10-01T12:10:57Z,1391,"[104.09508, 30.71379]",34234
899523,trajectory,2018-10-01T12:11:27Z,1391,"[104.09447, 30.71301]",34234
899524,trajectory,2018-10-01T12:11:57Z,1391,"[104.09269, 30.71318]",34234
899525,trajectory,2018-10-01T12:12:27Z,1391,"[104.09092, 30.71245]",34234
899526,trajectory,2018-10-01T12:12:57Z,1391,"[104.09121, 30.71175]",34234
899527,trajectory,2018-10-01T12:13:31Z,1391,"[104.09129, 30.71161]",34234
899528,trajectory,2018-10-01T12:14:01Z,1391,"[104.09127, 30.71161]",34234
899529,trajectory,2018-10-01T12:14:29Z,1391,"[104.09128, 30.71163]",34234
899530,trajectory,2018-10-01T12:14:59Z,1391,"[104.09187, 30.71067]",34234
899531,trajectory,2018-10-01T12:15:29Z,1391,"[104.09006, 30.7105]",34234
899532,trajectory,2018-10-01T12:15:59Z,1391,"[104.08975, 30.71055]",34234
899533,trajectory,2018-10-01T12:16:29Z,1391,"[104.08753, 30.71076]",34234
899534,trajectory,2018-10-01T12:16:59Z,1391,"[104.08364, 30.71083]",34234
899535,trajectory,2018-10-01T12:17:29Z,1391,"[104.08103, 30.71097]",34234
899536,trajectory,2018-10-01T12:17:59Z,1391,"[104.08086, 30.71318]",34234
899537,trajectory,2018-10-01T12:18:29Z,1391,"[104.08144, 30.7156]",34234
899538,trajectory,2018-10-01T12:18:59Z,1391,"[104.08239, 30.7188]",34234
899539,trajectory,2018-10-01T12:19:29Z,1391,"[104.08471, 30.72164]",34234
899540,trajectory,2018-10-01T12:19:59Z,1391,"[104.08718, 30.72489]",34234
899541,trajectory,2018-10-02T11:24:46Z,1391,"[104.07332, 30.68675]",34235
899542,trajectory,2018-10-02T11:25:16Z,1391,"[104.07346, 30.68778]",34235
899543,trajectory,2018-10-02T11:25:46Z,1391,"[104.07442, 30.68811]",34235
899544,trajectory,2018-10-02T11:26:16Z,1391,"[104.07588, 30.68818]",34235
899545,trajectory,2018-10-02T11:26:46Z,1391,"[104.07667, 30.68696]",34235
899546,trajectory,2018-10-02T11:27:16Z,1391,"[104.07586, 30.68574]",34235
899547,trajectory,2018-10-02T11:27:51Z,1391,"[104.0757, 30.68566]",34235
899548,trajectory,2018-10-02T11:28:47Z,1391,"[104.07576, 30.68551]",34235
899549,trajectory,2018-10-02T11:29:27Z,1391,"[104.07579, 30.68551]",34235
899550,trajectory,2018-10-02T11:29:56Z,1391,"[104.07578, 30.68551]",34235
899551,trajectory,2018-10-02T11:30:26Z,1391,"[104.07578, 30.68551]",34235
899552,trajectory,2018-10-02T11:30:56Z,1391,"[104.07572, 30.68545]",34235
899553,trajectory,2018-10-02T11:31:25Z,1391,"[104.07571, 30.68542]",34235
899554,trajectory,2018-10-02T11:31:55Z,1391,"[104.07577, 30.6854]",34235
899555,trajectory,2018-10-02T11:32:25Z,1391,"[104.07577, 30.6854]",34235
899556,trajectory,2018-10-02T11:32:55Z,1391,"[104.07584, 30.68497]",34235
899557,trajectory,2018-10-02T11:33:25Z,1391,"[104.07894, 30.68404]",34235
899558,trajectory,2018-10-02T11:33:55Z,1391,"[104.08027, 30.68713]",34235
899559,trajectory,2018-10-02T11:34:25Z,1391,"[104.08123, 30.69125]",34235
899560,trajectory,2018-10-02T11:34:55Z,1391,"[104.08141, 30.69497]",34235
899561,trajectory,2018-10-02T11:35:25Z,1391,"[104.08147, 30.69872]",34235
899562,trajectory,2018-10-02T11:35:56Z,1391,"[104.08059, 30.70317]",34235
899563,trajectory,2018-10-02T11:36:25Z,1391,"[104.07894, 30.70811]",34235
899564,trajectory,2018-10-02T11:36:55Z,1391,"[104.07522, 30.71133]",34235
899565,trajectory,2018-10-02T11:37:25Z,1391,"[104.07376, 30.71555]",34235
899566,trajectory,2018-10-02T11:37:55Z,1391,"[104.07453, 30.72032]",34235
899567,trajectory,2018-10-02T11:38:25Z,1391,"[104.07517, 30.72498]",34235
899568,trajectory,2018-10-05T10:17:44Z,1391,"[104.04301, 30.71563]",34236
899569,trajectory,2018-10-05T10:18:13Z,1391,"[104.0438, 30.71664]",34236
899570,trajectory,2018-10-05T10:18:44Z,1391,"[104.044, 30.71686]",34236
899571,trajectory,2018-10-05T10:19:14Z,1391,"[104.044, 30.71689]",34236
899572,trajectory,2018-10-05T10:19:44Z,1391,"[104.04355, 30.71781]",34236
899573,trajectory,2018-10-05T10:20:14Z,1391,"[104.04223, 30.71867]",34236
899574,trajectory,2018-10-05T10:20:50Z,1391,"[104.04223, 30.71867]",34236
899575,trajectory,2018-10-05T10:21:18Z,1391,"[104.04223, 30.71867]",34236
899576,trajectory,2018-10-05T10:21:48Z,1391,"[104.04223, 30.71867]",34236
899577,trajectory,2018-10-05T10:22:18Z,1391,"[104.04223, 30.71867]",34236
899578,trajectory,2018-10-05T10:23:49Z,1391,"[104.04298, 30.72233]",34236
899579,trajectory,2018-10-05T10:24:19Z,1391,"[104.0451, 30.72391]",34236
899580,trajectory,2018-10-05T10:24:50Z,1391,"[104.04731, 30.72506]",34236
899581,trajectory,2018-10-05T10:25:20Z,1391,"[104.04901, 30.72532]",34236
